LOC_BLANK,LOC_CODE_AND_COMMENT,HALSTEAD_CONTENT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,Defective
17,4,46.83,0.09,60,29,14,45,40.74,N
16,9,62.32,0.13,81,49,23,105,26.14,N
8,1,18.95,0.19,15,12,12,16,14.29,N
1,0,15.23,0.18,10,7,7,11,22.22,N
1,1,19.12,0.14,14,7,6,14,8.33,N
16,0,24,0.1,51,17,15,39,40.91,N
6,3,32.25,0.26,59,23,18,34,11.11,N
1,0,57.83,0.3,108,53,26,47,0,N
11,9,49.25,0.13,59,31,16,52,45,Y
3,2,26.3,0.04,22,20,19,80,11.11,N
0,0,14.12,0.57,14,8,11,7,0,N
0,0,6.17,0.4,6,3,7,5,0,N
16,1,23.33,0.14,62,20,19,42,32,N
5,1,40.59,0.12,45,24,15,25,5.26,N
0,0,16.16,0.44,24,10,16,18,0,N
2,0,11.6,0.18,12,6,10,11,0,N
3,0,12.24,0.22,14,6,8,9,0,N
14,5,46.09,0.15,177,51,31,102,24.36,Y
1,0,14.4,0.36,20,10,16,14,16.67,N
2,0,23.94,0.22,33,16,16,23,0,N
2,0,9.88,0.22,6,4,7,9,0,N
24,3,55.44,0.17,78,48,30,98,6.85,N
22,8,36.37,0.06,50,26,19,77,48.15,N
5,4,35.4,0.18,39,21,13,33,22.22,N
0,0,7.91,0.4,7,4,7,5,0,N
10,0,44.42,0.2,29,20,13,44,9.09,N
22,5,59.75,0.05,37,30,12,61,52.63,N
2,0,30.71,0.1,30,14,12,21,0,N
0,0,29.95,0.18,9,9,6,11,0,N
48,2,173.7,0.02,123,72,11,128,35.44,Y
1,0,9.57,0.33,7,4,10,9,0,N
3,5,36.01,0.23,34,19,15,31,18.52,N
13,3,22.96,0.15,29,16,15,27,23.08,N
77,23,74.12,0.07,199,70,27,227,44.3,N
0,0,18.88,0.43,20,10,9,7,0,N
3,2,45.06,0.12,48,23,12,26,18.18,Y
53,12,132.29,0.07,204,86,19,161,31.78,Y
1,0,17.3,0.38,7,5,6,8,0,N
7,20,62.85,0.28,305,81,41,130,18.03,N
2,0,14.04,0.2,3,3,4,10,0,N
9,0,44,0.13,71,43,27,47,13.51,N
0,3,30.54,0.39,30,21,16,18,17.65,N
15,0,56.46,0.07,56,41,21,67,0,Y
4,0,23.79,0.14,29,16,16,21,18.75,N
1,1,14.62,0.46,19,9,13,13,9.09,N
18,2,63.61,0.11,136,49,20,72,15.09,N
5,0,39.25,0.17,83,30,18,48,7.14,N
1,0,33.58,0.32,57,25,18,22,0,N
5,1,34.78,0.15,39,25,18,26,20,N
24,4,66.19,0.08,127,52,20,88,47.62,Y
20,0,56.78,0.1,71,45,24,94,26.03,N
5,1,34.95,0.09,54,25,17,23,23.53,N
15,14,61.27,0.08,151,44,26,63,34.04,N
5,0,42.39,0.13,47,32,22,76,2.38,N
8,3,81.83,0.2,162,61,22,85,25,N
0,0,12.17,0.4,7,5,12,5,0,N
3,0,24.09,0.33,16,10,7,9,0,N
1,0,16.21,0.17,16,8,11,23,0,N
4,0,17.53,0.25,40,12,14,24,0,N
1,0,10.99,0.29,8,5,8,7,0,N
11,0,55.45,0.09,43,28,12,46,20.59,N
17,5,25.81,0.09,63,22,21,69,49.02,Y
9,1,48.23,0.16,84,36,18,44,2.94,N
4,1,14.14,0.15,7,6,9,13,25,N
2,0,13.39,0.29,16,9,16,14,0,N
21,0,54.14,0.05,75,39,20,132,52.73,Y
11,0,87.22,0.04,116,50,15,70,46.55,N
4,0,33.06,0.16,74,23,16,44,7.69,N
1,0,28.49,0.31,41,14,9,13,0,N
5,1,19.66,0.1,13,10,11,21,40,N
1,0,10.8,0.4,12,6,10,10,0,N
0,0,9.51,0.4,3,3,6,5,0,N
8,2,24.6,0.11,20,12,9,19,20,N
16,1,47.6,0.06,54,30,15,49,3.13,N
1,2,22.38,0.23,30,18,24,26,8.33,N
10,2,23.74,0.09,22,14,13,32,42.86,N
1,0,21.28,0.25,24,11,14,8,0,N
4,3,53.89,0.26,158,51,25,57,5.77,N
30,4,96.71,0.14,256,84,26,223,33.33,N
17,3,24.8,0.03,26,16,15,61,62.79,Y
0,0,15.43,0.15,16,8,10,13,0,N
7,4,170.88,0.29,426,144,27,148,2.86,N
12,0,59.49,0.32,893,108,68,174,0,N
11,1,49.99,0.1,77,29,13,42,10,N
10,3,40.2,0.17,79,26,15,46,34.29,N
9,0,16.41,0.14,20,10,15,36,19.23,N
0,0,16.53,0.22,15,8,8,9,0,N
56,42,79.48,0.16,489,79,29,230,40,N
16,0,287.86,0.1,757,197,22,394,7.43,N
6,7,20.45,0.09,26,12,14,33,34.62,N
7,1,29.83,0.1,107,24,18,39,3.23,N
2,5,39.02,0.5,20,15,8,10,71.43,N
1,0,14.42,0.21,18,8,11,14,0,N
7,1,32.18,0.14,132,22,15,43,2.86,N
9,0,57.88,0.19,134,51,24,70,2.08,N
12,2,15.75,0.09,19,10,13,33,50,N
1,0,10.33,0.47,17,6,15,15,0,N
9,3,35.14,0.18,112,34,25,56,30.43,N
18,6,56.95,0.08,50,36,16,49,20,Y
5,2,40.79,0.14,29,21,12,22,12.5,N
1,0,24.15,0.33,21,11,9,9,0,N
3,0,30.78,0.07,48,20,15,28,0,N
4,2,47.52,0.23,99,45,26,52,8.51,N
22,2,48.73,0.07,67,38,22,99,20.9,N
27,4,33.74,0.13,58,30,24,83,30.91,N
4,1,15.02,0.1,8,7,10,21,62.5,N
13,1,43.37,0.06,56,29,16,53,30.77,N
22,6,42.74,0.08,32,29,20,88,60,N
5,1,28.06,0.17,26,16,13,23,23.53,N
0,1,13.06,0.5,34,6,7,14,23.08,N
5,3,40.83,0.19,86,25,14,54,10.42,N
18,6,43.34,0.11,50,29,17,55,36.11,Y
9,3,51.63,0.17,48,33,16,42,12.5,N
4,0,16.1,0.2,30,12,16,15,0,N
16,5,67.8,0.06,67,45,18,82,41.54,Y
2,0,13.14,0.23,14,6,7,13,0,N
2,0,20.06,0.18,31,12,11,11,0,N
25,5,39.88,0.08,45,27,16,66,55,N
2,0,7.35,0.45,13,4,13,11,0,N
1,3,13.76,0.23,44,11,18,26,12.5,N
1,1,54.76,0.16,23,22,9,25,8.7,N
2,0,35.44,0.19,32,21,13,21,11.11,N
4,0,18.86,0.14,12,9,11,21,25,N
8,0,114.44,0.04,103,63,14,47,10.53,N
3,1,29.69,0.1,17,16,14,20,12.5,N
5,1,179.17,0.35,243,108,19,98,2.17,N
2,7,36.79,0.15,44,24,17,39,36.11,N
28,3,88.1,0.05,53,42,14,81,34.62,N
20,5,32.02,0.16,71,29,22,58,45.95,N
1,0,11.82,0.18,13,6,10,11,0,N
6,1,12.29,0.19,15,8,12,16,44.44,N
4,2,58.21,0.08,107,39,16,49,20.45,N
1,0,18.88,0.33,20,10,9,9,0,N
0,0,10.2,0.2,16,6,10,10,0,N
1,0,12.65,0.36,20,9,15,11,0,N
1,0,13.67,0.29,10,7,8,7,0,N
1,0,12.48,0.2,10,6,10,10,0,N
18,2,72.48,0.06,106,41,16,80,34.67,Y
2,2,38,0.19,58,32,23,42,5.13,N
11,2,86.17,0.05,48,36,10,43,6.25,N
0,0,13.45,0.18,6,5,6,11,20,N
30,7,58.55,0.1,98,38,17,111,42.5,Y
6,0,22.35,0.17,30,15,17,30,0,N
14,3,56.3,0.13,54,27,11,39,12.5,N
27,0,104.45,0.12,187,84,27,128,10.99,Y
1,0,9.26,0.25,11,5,11,12,0,N
29,11,76.18,0.13,81,47,17,84,29.63,Y
15,8,65.12,0.18,179,51,21,125,49.54,Y
26,5,60.18,0.08,120,48,22,91,48.44,Y
6,0,20.84,0.14,22,12,12,21,0,N
15,2,102.96,0.04,140,64,16,69,7.55,Y
7,2,19.24,0.17,33,14,15,24,31.25,N
10,0,52.14,0.06,54,28,13,47,33.33,N
2,0,25.27,0.11,29,14,11,18,0,N
1,2,41.66,0.27,89,35,29,48,6.52,N
1,17,31.42,0.2,102,31,28,50,35.42,N
2,0,10.4,0.33,19,7,14,12,0,N
1,0,24.76,0.22,49,20,20,23,0,N
1,0,14.12,0.23,14,9,14,13,0,N
16,4,47.71,0.13,62,33,17,52,42.86,Y
4,0,88.96,0.4,210,70,22,67,0,N
13,1,26.39,0.13,43,21,18,39,4,N
28,4,118.43,0.12,169,99,28,145,3.45,N
4,5,93.54,0.21,87,51,15,63,25.86,N
8,0,62.76,0.05,115,35,13,40,6.45,N
3,0,27.29,0.33,50,19,16,21,0,N
3,0,24.33,0.17,24,10,7,12,0,N
18,0,28.88,0.14,81,20,15,42,17.39,Y
8,0,23.66,0.12,19,12,10,17,0,N
2,2,25.11,0.17,28,18,18,23,10,N
24,2,44.69,0.06,60,32,20,70,31.11,Y
8,0,41.25,0.09,56,21,11,23,0,Y
57,0,60.44,0.04,89,52,23,211,16,N
14,2,41.91,0.08,93,32,19,73,31.03,N
1,0,11.47,0.25,32,8,14,20,0,N
0,0,11.82,0.4,8,5,11,5,0,N
11,4,135.48,0.03,123,37,6,66,24.07,N
1,0,15.92,0.2,8,7,11,10,0,N
1,0,12.54,0.23,17,8,12,13,9.09,N
1,0,21.5,0.16,13,10,11,19,0,N
20,0,48.97,0.11,80,38,20,72,27.45,Y
0,1,16.86,0.42,29,11,13,12,9.09,N
1,0,19.11,0.19,21,11,11,16,7.14,N
12,0,34.84,0.14,54,30,22,43,20,N
1,0,11.62,0.33,13,6,9,9,0,N
14,2,36.88,0.1,79,27,17,52,35.14,N
10,1,58.95,0.07,35,25,9,30,10.53,Y
4,0,49.17,0.08,42,23,10,24,0,N
16,5,38.45,0.16,63,33,24,68,33.33,N
36,11,32.58,0.12,89,30,25,115,44.87,N
9,0,52.01,0.06,67,32,14,33,13.04,Y
4,0,24.3,0.42,60,20,18,26,0,N
1,0,26.3,0.39,27,15,13,18,6.25,N
